"","site.name","droad","dcabin","treeheight","dlogging","dstreammouth","dfreshwater","foragearea.buffer","dforagearea","site.location","latrine.present","disturbance.area","site.name.original","lat.pres"
"506","ABR56",1522.71,103.24,3,2689.34,1644.79,920.16,"N/A",NA,"Alexander Bay","N","Y","SSR56",0
"507","ABR57",2047.11,646.5,4,3155.31,1885.42,1401.08,"N/A",NA,"Alexander Bay","N","Y","SSR57",0
"508","ABR58",2027.87,565.21,3,2928.25,1605.58,1190.53,"N/A",NA,"Alexander Bay","N","Y","SSR58",0
"509","ABR59",1843.68,381.09,3,2723.16,1484.79,1005.85,"N/A",NA,"Alexander Bay","N","Y","SSR59",0
"510","ABR60",1675.22,158.14,4,2651.11,1531.96,875.38,"N/A",NA,"Alexander Bay","N","Y","SSR60",0
"511","ABR61",1639.41,265.98,4,2486.96,1335.95,751.61,"N/A",NA,"Alexander Bay","N","Y","SSR61",0
"512","ABR62",1789.53,456.04,1,2447.76,1188.2,716.51,"N/A",NA,"Alexander Bay","N","Y","SSR62",0
"513","ABR63",2117.59,98.02,4,2509.57,1046.9,836.92,"N/A",NA,"Alexander Bay","N","Y","SSR63",0
"514","ABR64",2352.86,207.63,3,2575.17,1006.55,972.07,"N/A",NA,"Alexander Bay","N","Y","SSR64",0
"515","ABR65",2036.36,208.54,4,2404.59,828.55,828.55,"N/A",NA,"Alexander Bay","N","Y","SSR65",0
"516","ABR66",1982.66,384.34,4,2278.14,655.19,655.19,"N/A",NA,"Alexander Bay","N","Y","SSR66",0
"517","ABR67",1989.26,620.37,4,2168.67,491.29,491.29,"N/A",NA,"Alexander Bay","N","Y","SSR67",0
"518","ABR68",1877.97,624.89,4,1912.72,269.82,269.82,"N/A",NA,"Alexander Bay","N","Y","SSR68",0
"519","ABR69",1607.47,996.39,4,1663.32,41.52,41.52,"N/A",NA,"Alexander Bay","N","Y","SSR69",0
"520","ABR70",1792.39,1144.8,4,1745.3,271.57,271.57,"N/A",NA,"Alexander Bay","N","Y","SSR70",0
"521","ABR71",1714.37,1367.83,4,1558.71,428.22,428.22,"N/A",NA,"Alexander Bay","N","Y","SSR71",0
"522","ABR72",1485.18,1450.28,4,1193.1,498.45,498.45,"N/A",NA,"Alexander Bay","N","Y","SSR72",0
"523","ABR73",1235.07,1567.93,4,984.72,658.86,658.86,"N/A",NA,"Alexander Bay","N","Y","SSR73",0
"524","ABR74",952.91,1598.5,4,836.09,341.81,341.81,"N/A",NA,"Alexander Bay","N","Y","SSR74",0
"525","ABR75",674.98,1147.32,4,569.59,84.3,84.3,"N/A",NA,"Alexander Bay","N","Y","SSR75",0
"526","ABR76",611.98,994.19,4,449.13,184.08,184.08,"N/A",NA,"Alexander Bay","N","Y","SSR76",0
"527","ABR77",830.95,1001.1,4,393.81,211.55,211.55,"N/A",NA,"Alexander Bay","N","Y","SSR77",0
"528","ABR78",1004.01,1109.19,4,478.93,369.99,369.99,"N/A",NA,"Alexander Bay","N","Y","SSR78",0
"529","ABR79",1250.2,1203.85,4,614.81,716.77,716.77,"N/A",NA,"Alexander Bay","N","Y","SSR79",0
"530","ABR80",925.9,791.79,4,266.8,582.71,582.71,"N/A",NA,"Alexander Bay","N","Y","SSR80",0
"531","ABR81",1097.57,765.2,4,459.28,904.51,887.71,"N/A",NA,"Alexander Bay","N","Y","SSR81",0
"532","ABR82",927.61,483.85,4,387.74,783.69,772.29,"N/A",NA,"Alexander Bay","N","Y","SSR82",0
"533","ABR83",735.69,193.18,4,209.62,458.47,458.47,"N/A",NA,"Alexander Bay","N","Y","SSR83",0
"534","ABR84",678.16,299.58,4,364.69,37.94,37.94,"N/A",NA,"Alexander Bay","N","Y","SSR84",0
"535","ABR85",998.21,145.72,1,482.45,535.8,535.8,"N/A",NA,"Alexander Bay","N","Y","SSR85",0
"536","ABR86",1409.4,62.6,1,880.78,887.15,887.15,"N/A",NA,"Alexander Bay","N","Y","SSR86",0
"537","ABR87",1464.86,56.44,1,953.32,723.38,723.38,"N/A",NA,"Alexander Bay","N","Y","SSR87",0
"538","ABR88",1338.05,154.93,1,946.15,371.63,371.63,"N/A",NA,"Alexander Bay","N","Y","SSR88",0
"539","ABR89",1250.36,839.75,4,824.16,246.4,202.26,"N/A",NA,"Alexander Bay","N","Y","SSR89",0
"540","ABR90",1064.24,495.06,4,504.45,302.68,302.68,"N/A",NA,"Alexander Bay","N","Y","SSR90",0
"541","ABR91",735.19,196.28,4,269.42,265.74,261.68,"N/A",NA,"Alexander Bay","N","Y","SSR91",0
"542","ABR92",928.72,309,1,541.97,42.3,42.3,"N/A",NA,"Alexander Bay","N","Y","SSR92",0
"543","ABR93",805.07,350.68,1,650.8,235.44,142.23,"N/A",NA,"Alexander Bay","N","Y","SSR93",0
"544","ABR94",970.82,467.82,3,864.8,92.81,92.81,"N/A",NA,"Alexander Bay","N","Y","SSR94",0
"545","ABR95",1369.61,626.39,3,738.94,203.46,203.46,"N/A",NA,"Alexander Bay","N","Y","SSR95",0
"546","ABR96",2009.39,47.04,3,242.88,643.1,601.17,"N/A",NA,"Alexander Bay","N","Y","SSR96",0
"547","ABR97",2130.92,73.96,4,251.18,765.55,701.64,"N/A",NA,"Alexander Bay","N","Y","SSR97",0
"548","ABR98",2201.53,836.87,1,1093.84,1127.05,1127.05,"N/A",NA,"Alexander Bay","N","Y","SSR98",0
"549","ABR99",2632.87,674.56,4,1066.09,1404.21,1404.21,"N/A",NA,"Alexander Bay","N","Y","SSR99",0
"550","ABR100",2508.7,248.27,4,661.93,1175.26,1155.62,"N/A",NA,"Alexander Bay","N","Y","SSR100",0
"551","ABR101",2281.6,112,2,187.26,916.67,716.07,"N/A",NA,"Alexander Bay","N","Y","SSR101",0
"552","ABR102",2664.45,141.19,3,566.9,1504.8,1056.2,"N/A",NA,"Alexander Bay","N","Y","SSR102",0
"553","ABR103",2996.48,382.88,4,964.29,1306.36,1111.71,"N/A",NA,"Alexander Bay","N","Y","SSR103",0
"554","ABR104",3236.26,468.38,3,1163.91,1492.29,1401.66,"N/A",NA,"Alexander Bay","N","Y","SSR104",0
"555","ABR105",2518.72,1100.47,3,1653.56,753.76,753.76,"N/A",NA,"Alexander Bay","N","Y","SSR105",0
"556","ABR106",1777.75,292.79,3,1041.21,417.31,417.31,"N/A",NA,"Alexander Bay","N","Y","SSR106",0
"557","ABR107",1386.09,289.66,4,788.32,947.28,937.15,"N/A",NA,"Alexander Bay","N","Y","SSR107",0
"558","ABR108",1246.66,104.75,3,817.84,1709.77,1649.22,"N/A",NA,"Alexander Bay","N","Y","SSR108",0
"559","ABR109",963.44,117.08,3,534.68,1661.86,1533.42,"N/A",NA,"Alexander Bay","N","Y","SSR109",0
"560","ABR110",961.45,240.22,1,514.02,1783.93,1644.44,"N/A",NA,"Alexander Bay","N","Y","SSR110",0
"561","ABR111",934.33,935.4,3,294.88,2363.18,2059.51,"N/A",NA,"Alexander Bay","N","Y","SSR111",0
"562","ABR112",645.27,916.65,3,295.82,2520.49,1997.44,"N/A",NA,"Alexander Bay","N","Y","SSR112",0
"563","ABR113",663.02,639.42,2,582.86,2817.13,2168.77,"N/A",NA,"Alexander Bay","N","Y","SSR113",0
"564","ABR114",615.2,185.13,1,178.19,3233.48,2008.13,"N/A",NA,"Alexander Bay","N","Y","SSR114",0
"565","ABR115",568.13,76.41,4,204.5,3651.08,1623.99,"N/A",NA,"Alexander Bay","N","Y","SSR115",0
"566","ABR116",478.57,510.81,1,98.29,4054.81,1175.67,"N/A",NA,"Alexander Bay","N","Y","SSR116",0
"567","ABR117",628.32,1229.83,3,77.06,4300,525.34,"N/A",NA,"Alexander Bay","N","Y","SSR117",0
"568","ABR118",589.59,1192.26,4,175.03,3896.82,281.17,"N/A",NA,"Alexander Bay","N","Y","SSR118",0
"569","ABR119",583.88,771.9,4,127.74,3613.39,655,"N/A",NA,"Alexander Bay","N","Y","SSR119",0
"570","ABR120",497.26,588.54,1,113.98,3220.05,933.81,"N/A",NA,"Alexander Bay","N","Y","SSR120",0
"571","ABR121",715.11,336.47,1,48.11,2857.24,497.34,"N/A",NA,"Alexander Bay","N","Y","SSR121",0
"572","ABR122",658.66,352.5,3,96.08,2665.45,677.02,"N/A",NA,"Alexander Bay","N","Y","SSR122",0
"573","ABR123",653.85,547.45,3,170.6,2604.58,867.46,"N/A",NA,"Alexander Bay","N","Y","SSR123",0
"574","ABR124",592.42,467.59,3,132.67,1923.71,710.8,"N/A",NA,"Alexander Bay","N","Y","SSR124",0
"575","ABR125",920.2,331.56,2,408.78,1569.19,896.53,"N/A",NA,"Alexander Bay","N","Y","SSR125",0
"576","ABR126",1382.89,407.83,2,842.67,1109.63,376.15,"N/A",NA,"Alexander Bay","N","Y","SSR126",0
"577","ABR127",806.72,1427.22,4,399.93,1527.74,307.16,"N/A",NA,"Alexander Bay","N","Y","SSR127",0
"578","ABR128",783.17,1984.44,4,180.33,1202.64,428.88,"N/A",NA,"Alexander Bay","N","Y","SSR128",0
"579","ABR129",303.47,1552.37,4,108.89,1298.59,975.76,"N/A",NA,"Alexander Bay","N","Y","SSR129",0
"580","ABR130",175.16,802.67,4,102.38,1720.77,761.6,"N/A",NA,"Alexander Bay","N","Y","SSR130",0
"581","ABR131",197.98,239.01,3,177.86,2045.71,218.83,"N/A",NA,"Alexander Bay","N","Y","SSR131",0
"582","ABR132",135.07,73.1,4,60.17,2200.66,642.36,"N/A",NA,"Alexander Bay","N","Y","SSR132",0
"583","ABR133",228.28,377.49,3,182.36,1925.93,727.25,"N/A",NA,"Alexander Bay","N","Y","SSR133",0
"584","ABR134",296.71,614.84,4,107.84,1635.07,1007.02,"N/A",NA,"Alexander Bay","N","Y","SSR134",0
"585","ABR135",816.28,1155.61,3,124.32,1087.31,793.33,"N/A",NA,"Alexander Bay","N","Y","SSR135",0
"586","ABR136",1581.61,1909.77,1,793.85,565.16,548.94,"N/A",NA,"Alexander Bay","N","Y","SSR136",0
"587","ABR137",1012.1,2479.53,4,489.9,278.81,268.74,"N/A",NA,"Alexander Bay","N","Y","SSR137",0
"588","ABR138",1372.33,2678.42,4,814.22,723.9,603.97,"N/A",NA,"Alexander Bay","N","Y","SSR138",0
"589","ABR139",1310.04,2556.74,4,941.09,872.04,742.7,"N/A",NA,"Alexander Bay","N","Y","SSR139",0
"590","ABR140",1434.89,2200.68,4,1273.74,1286.7,917.9,"N/A",NA,"Alexander Bay","N","Y","SSR140",0
"591","ABR141",1211.53,1626.56,4,2040.71,1154.03,1085.29,"N/A",NA,"Alexander Bay","N","Y","SSR141",0
"592","ABR142",1349.25,1323.69,4,1958.96,1200.34,1170.42,"N/A",NA,"Alexander Bay","N","Y","SSR142",0
"593","ABR143",1409.44,754.72,4,1622.9,1684.54,1073.7,"N/A",NA,"Alexander Bay","N","Y","SSR143",0
"594","ABR144",1702.77,393.18,1,1603.74,1546.2,1131.8,"N/A",NA,"Alexander Bay","N","Y","SSR144",0
"595","ABR145",1475.29,35.09,1,1347.19,1199.55,991.96,"N/A",NA,"Alexander Bay","N","Y","SSR145",0
"596","ABR146",1368.09,28.98,2,1277.17,997.19,997.19,"N/A",NA,"Alexander Bay","N","Y","SSR146",0
"597","ABR147",1428.38,56.1,4,1408.4,605.62,605.62,"N/A",NA,"Alexander Bay","N","Y","SSR147",0
"598","ABR148",2435.25,242.34,4,1864.58,161.05,161.05,"N/A",NA,"Alexander Bay","N","Y","SSR148",0
"599","ABR149",2435.66,426.54,1,1905.7,104.32,104.32,"N/A",NA,"Alexander Bay","N","Y","SSR149",0
"600","ABR150",2084.83,70.1,2,1581.78,409.32,285.71,"N/A",NA,"Alexander Bay","N","Y","SSR150",0
"601","ABR151",1779.87,88.85,3,1270.14,701.7,263.7,"N/A",NA,"Alexander Bay","N","Y","SSR151",0
"602","ABR152",1085.57,35.42,2,712.99,1546.4,226.63,"N/A",NA,"Alexander Bay","N","Y","SSR152",0
"603","ABR153",955.7,115.88,5,442.96,2229.94,349.32,"N/A",NA,"Alexander Bay","N","Y","SSR153",0
"604","ABR154",1372.25,307.23,4,235.78,3456.88,918.14,"N/A",NA,"Alexander Bay","N","Y","SSR154",0
"605","TNR1",4267.82,246.42,4,0,654.64,654.64,"1597.86",0,"Terra Nova","N","N","TNR1",0
"606","TNR2",3723.1,456.73,3,0,91.88,91.88,"1239.29",0,"Terra Nova","N","N","TNR2",0
"607","TNR3",4327,733.77,5,0,677.1,677.1,"786.06799999999998",0,"Terra Nova","N","N","TNR3",0
"608","TNR4",4647.51,978.21,3,0,1005.02,1005.02,"2348.5",0,"Terra Nova","N","N","TNR4",0
"609","TNR5",4422.51,1131.84,5,0,945.37,945.37,"1447.66",0,"Terra Nova","N","N","TNR5",0
"610","TNR6",4399.7,1358.01,5,0,1093.86,1093.86,"1499.77",0,"Terra Nova","N","N","TNR6",0
"611","TNR7",4350.7,1644.51,5,0,917.09,917.09,"1735.05",0,"Terra Nova","N","N","TNR7",0
"612","TNR8",4620.28,1892.71,4,0,655.46,655.46,"1563.15",0,"Terra Nova","N","N","TNR8",0
"613","TNR9",4750.29,2198.3,4,0,348.61,348.61,"1807.56",0,"Terra Nova","N","N","TNR9",0
"614","TNR10",4970.03,2482.85,5,0,116.32,116.32,"1123.1099999999999",0,"Terra Nova","N","N","TNR10",0
"615","TNR11",5130.65,2418.66,5,0,373.96,373.96,"1817.93",0,"Terra Nova","N","N","TNR11",0
"616","TNR12",5473.09,2693.47,5,0,606.65,606.65,"1961",0,"Terra Nova","N","N","TNR12",0
"617","TNR13",5842.2,3095.49,3,0,919.14,736.24,"2187.75",51.08,"Terra Nova","N","N","TNR13",0
"618","TNR14",6009.45,3451.3,2,0,1106.32,835.69,"1864.68",0,"Terra Nova","N","N","TNR14",0
"619","TNR15",6149.25,3700.15,2,0,963.31,693.3,"2160.2199999999998",27.96,"Terra Nova","N","N","TNR15",0
"620","TNR16",6244.32,3966.99,2,0,644.58,487.85,"2074.61",0,"Terra Nova","N","N","TNR16",0
"621","TNR17",6375.87,4211.43,3,0,387.02,125.24,"2120.2399999999998",9.13,"Terra Nova","N","N","TNR17",0
"622","TNR18",6481.76,4451.11,3,0,114.84,114.84,"1577.84",0,"Terra Nova","N","N","TNR18",0
"623","TNR19",6785.44,4812.49,3,0,290.67,209.91,"2121.77",0,"Terra Nova","N","N","TNR19",0
"624","TNR20",7052.95,5075.57,3,0,568.78,488.22,"2047.32",0,"Terra Nova","N","N","TNR20",0
"625","TNR21",7357.1,5402.06,3,0,898.18,802.68,"0",138.48,"Terra Nova","N","N","TNR21",0
"626","TNR22",7586.36,5262.336,3,0,1189.47,768.93,"1823.22",0,"Terra Nova","N","N","TNR22",0
"627","TNR23",7889.6,4958.82,3,0,809.46,760.25,"1953.76",0,"Terra Nova","N","N","TNR23",0
"628","TNR24",8168.45,4781.66,3,0,533.53,498.98,"1580.87",0,"Terra Nova","N","N","TNR24",0
"629","TNR25",8498.42,4555.05,3,0,209.59,209.59,"1420.15",0,"Terra Nova","N","N","TNR25",0
"630","TNR26",8662.18,4366.87,5,0,32.05,32.05,"1304.49",0,"Terra Nova","N","N","TNR26",0
"631","TNR27",8899.03,4230.43,5,0,262.44,262.44,"1965.37",0,"Terra Nova","N","N","TNR27",0
"632","TNR28",9136.66,4081.07,5,0,406.57,406.57,"2230.5500000000002",0,"Terra Nova","N","N","TNR28",0
"633","TNR29",9399.12,3893.43,5,0,129.08,129.08,"2045.18",0,"Terra Nova","N","N","TNR29",0
"634","TNR30",9650.65,3694.99,5,0,172.54,172.54,"1939.3",0,"Terra Nova","N","N","TNR30",0
"635","TNR31",10071.21,3344.48,5,0,556.89,422.54,"1452.48",0,"Terra Nova","N","N","TNR31",0
"636","TNR32",10402.61,3031.55,5,0,196.29,196.29,"1417.04",0,"Terra Nova","N","N","TNR32",0
"637","TNR33",10996.99,2809.05,4,0,496.33,369.2,"1997.25",0,"Terra Nova","N","N","TNR33",0
"638","TNR34",11615.31,2438.84,3,0,534.58,534.58,"1756.13",0,"Terra Nova","N","N","TNR34",0
"639","TNR35",11908.33,2938.23,4,0,562.57,562.57,"2605.09",46.5,"Terra Nova","N","N","TNR35",0
"640","TNR36",12737.33,3068.77,2,0,1050.64,413.94,"1842.96",67.17,"Terra Nova","N","N","TNR36",0
"641","TNR37",13483.21,3187.99,3,0,621.43,552.59,"2258.81",0,"Terra Nova","N","N","TNR37",0
"642","TNR38",13792.64,3208.53,3,0,847.73,803.58,"2709.58",0,"Terra Nova","N","N","TNR38",0
"643","TNR39",13246.98,2712.4,1,0,316.21,316.21,"1916.05",0,"Terra Nova","N","N","TNR39",0
"644","TNR40",13716.1,2931.2,1,0,927.34,927.34,"1637.46",0,"Terra Nova","N","N","TNR40",0
"645","TNR41",13795.97,2549.11,4,0,750.72,750.72,"1704.05",0,"Terra Nova","N","N","TNR41",0
"646","TNR42",13665.24,2648.5,3,0,604.96,604.96,"1418.05",0,"Terra Nova","N","N","TNR42",0
"647","TNR43",13850.47,2788.65,4,0,593.77,593.77,"1510.96",0,"Terra Nova","N","N","TNR43",0
"648","TNR44",13678.38,2618.1,4,0,452.18,452.18,"1311.99",0,"Terra Nova","N","N","TNR44",0
"649","TNR45",13473.53,2416.79,2,0,332.25,305.69,"1499.12",0,"Terra Nova","N","N","TNR45",0
"650","TNR46",13470.39,2386.14,2,0,185.55,185.55,"2100.4899999999998",0,"Terra Nova","N","N","TNR46",0
"651","TNR47",13563.7,2463.54,2,0,214.72,214.72,"1625.28",0,"Terra Nova","N","N","TNR47",0
"652","TNR48",13449.75,2339.97,3,0,195.61,195.61,"1277.56",0,"Terra Nova","N","N","TNR48",0
"653","TNR49",13571.92,2461.92,3,0,395.7,395.7,"1297.1400000000001",0,"Terra Nova","N","N","TNR49",0
"654","TNR50",13761.83,2656.87,3,0,609.77,609.77,"1829.26",0,"Terra Nova","N","N","TNR50",0
"655","TNR51",13989.33,2897.75,4,0,892.5,892.5,"1810.47",0,"Terra Nova","N","N","TNR51",0
"656","TNR52",13894.93,2820.62,3,0,928.29,928.29,"1311.59",0,"Terra Nova","N","N","TNR52",0
"657","TNR53",13799,2736.54,3,0,931.25,931.25,"1411",0,"Terra Nova","N","N","TNR53",0
"658","TNR54",13716.99,2685.53,3,0,1031.13,1031.13,"775.82799999999997",0,"Terra Nova","N","N","TNR54",0
"659","TNR55",13956.76,2918.38,3,0,1139.14,1139.14,"1285.76",0,"Terra Nova","N","N","TNR55",0
"660","TNR56",14061.72,3028.95,3,0,1232.04,1232.04,"2093.59",0,"Terra Nova","N","N","TNR56",0
"661","TNR57",14026.06,3030.44,3,0,1345.52,1345.52,"1584.64",0,"Terra Nova","N","N","TNR57",0
"662","TNR58",14130.2,3177.85,3,0,1553.35,1553.35,"1623.47",0,"Terra Nova","N","N","TNR58",0
"663","TNR59",14320.26,3383.75,3,0,1731.23,1731.23,"1829.18",23.37,"Terra Nova","N","N","TNR59",0
"664","TNR60",14366.99,3467.51,3,0,1866.94,1866.94,"0",175.54,"Terra Nova","N","N","TNR60",0
"665","TNR61",14135.44,3232.11,3,0,1698.25,1698.25,"0",115.04,"Terra Nova","N","N","TNR61",0
"666","TNR62",13930.18,3025.44,3,0,1569.15,1569.15,"1435.44",0,"Terra Nova","N","N","TNR62",0
"667","TNR63",13742.92,2830.58,3,0,1448.61,1448.61,"1247.1500000000001",0,"Terra Nova","N","N","TNR63",0
"668","TNR64",13573.52,2655.42,3,0,1358.48,1353.36,"1403.42",0,"Terra Nova","N","N","TNR64",0
"669","TNR65",13348.39,2425.59,3,0,1275.47,1181.72,"1121.31",0,"Terra Nova","N","N","TNR65",0
"670","TNR66",13071.54,2140.62,4,0,1220.03,997.56,"1232.3900000000001",0,"Terra Nova","N","N","TNR66",0
"671","TNR67",12911.36,2055.79,3,0,1402.4,1090.17,"1573.85",0,"Terra Nova","N","N","TNR67",0
"672","TNR68",12686.97,1847.42,3,0,1485.08,975.98,"1009.37",0,"Terra Nova","N","N","TNR68",0
"673","TNR69",12560.17,1608.68,3,0,1238.68,671.89,"1509.2",0,"Terra Nova","N","N","TNR69",0
"674","TNR70",12360.17,1358.74,3,0,987.03,480.78,"1333.9",0,"Terra Nova","N","N","TNR70",0
"675","TNR71",12092.62,1090.56,3,0,720.51,516.77,"1447.47",0,"Terra Nova","N","N","TNR71",0
"676","TNR72",11847.04,865.22,3,0,504.52,328.07,"1392.15",0,"Terra Nova","N","N","TNR72",0
"677","TNR73",11654.79,670.86,3,0,325.23,206.58,"1996.35",0,"Terra Nova","N","N","TNR73",0
"678","TNR74",11507.07,508.95,3,0,191.27,191.27,"886.721",0,"Terra Nova","N","N","TNR74",0
"679","TNR75",11281.81,292.85,3,0,203,203,"1588.19",0,"Terra Nova","N","N","TNR75",0
"680","TNR76",11268.9,165.04,3,0,208.27,208.27,"1363.58",0,"Terra Nova","N","N","TNR76",0
"681","TNR77",11110.98,21.55,3,0,26.87,26.87,"1147.83",0,"Terra Nova","N","N","TNR77",0
"682","TNR78",10818.71,304.49,4,0,331.24,331.24,"1444.31",0,"Terra Nova","N","N","TNR78",0
"683","TNR79",10961.59,363.07,4,0,383.15,383.15,"2611.5700000000002",0,"Terra Nova","N","N","TNR79",0
"684","TNR80",11314.45,462.65,4,0,316.89,316.89,"1227.57",0,"Terra Nova","N","N","TNR80",0
"685","TNR81",11656.22,863.93,3,0,575.3,575.3,"1133.51",0,"Terra Nova","N","N","TNR81",0
"686","TNR82",11518,917.12,3,0,556.95,556.95,"853.20699999999999",0,"Terra Nova","N","N","TNR82",0
"687","TNR83",11214.38,849.64,3,0,376.99,338.2,"1512.08",0,"Terra Nova","N","N","TNR83",0
"688","TNR84",11120.08,1051.64,3,0,156.32,112.01,"1395.63",0,"Terra Nova","N","N","TNR84",0
"689","TNR85",11275.93,1154.59,3,0,155.96,155.96,"1858.08",0,"Terra Nova","N","N","TNR85",0
"690","TNR86",11445.31,1284.4,3,0,313.79,313.79,"0",128.53,"Terra Nova","N","N","TNR86",0
"691","TNR87",11334.24,1329,3,0,201.97,201.97,"1807.07",0,"Terra Nova","N","N","TNR87",0
"692","TNR88",11255.37,967.34,3,0,377.65,377.65,"1228.1500000000001",0,"Terra Nova","N","N","TNR88",0
"693","TNR89",11511.68,1114.53,2,0,657.89,657.89,"0",106.4,"Terra Nova","N","N","TNR89",0
"694","TNR90",11387.37,1015.37,3,0,556.04,556.04,"2248.1",0,"Terra Nova","N","N","TNR90",0
"695","TNR91",11216.79,814.32,3,0,608.57,508.36,"1508.8",0,"Terra Nova","N","N","TNR91",0
"696","TNR92",11075.29,681.07,3,0,614.07,381.63,"1270.79",0,"Terra Nova","N","N","TNR92",0
"697","TNR93",10953.38,604.6,3,0,584.01,248.91,"518.90099999999995",0,"Terra Nova","N","N","TNR93",0
"698","TNR94",10896.7,556.85,3,0,607.39,203.85,"571.70500000000004",0,"Terra Nova","N","N","TNR94",0
"699","TNR95",10796.31,440.61,3,0,519.68,190.19,"1054.5899999999999",0,"Terra Nova","N","N","TNR95",0
"700","TNR96",10688.47,362.19,3,0,422.21,166.52,"697.16200000000003",0,"Terra Nova","N","N","TNR96",0
"701","TNR97",10624.55,323.15,3,0,366.76,184.43,"888.40700000000004",0,"Terra Nova","N","N","TNR97",0
"702","TNR98",10511.29,299.96,4,0,295.1,217.86,"1345.87",0,"Terra Nova","N","N","TNR98",0
"703","TNR99",10450.9,332.81,4,0,294.43,287.89,"1201.9100000000001",0,"Terra Nova","N","N","TNR99",0
"704","TNR100",10342.37,389.86,4,0,305.47,202.62,"1484.65",0,"Terra Nova","N","N","TNR100",0
"705","TNR101",10297.33,463.24,4,0,284.62,202.81,"1650.4",0,"Terra Nova","N","N","TNR101",0
"706","TNR102",10259.88,609.1,5,0,150.69,150.69,"1414.47",0,"Terra Nova","N","N","TNR102",0
"707","TNR103",10214.36,691.34,5,0,72.44,72.44,"1179.7",0,"Terra Nova","N","N","TNR103",0
"708","TNR104",9983.35,783.68,4,0,20.11,20.11,"958.34100000000001",0,"Terra Nova","N","N","TNR104",0
"709","TNR105",9953.8,712.43,4,0,130.71,130.71,"1111.8399999999999",0,"Terra Nova","N","N","TNR105",0
"710","TNR106",10152.86,472.8,3,0,303.24,303.24,"1451.85",0,"Terra Nova","N","N","TNR106",0
"711","TNR107",10391.22,235.82,3,0,170.46,170.46,"2448.92",0,"Terra Nova","N","N","TNR107",0
"712","TNR108",10267.8,274.61,4,0,139.01,139.01,"1225.46",0,"Terra Nova","N","N","TNR108",0
"713","TNR109",10274.86,222.63,2,0,72.36,72.36,"1369.26",0,"Terra Nova","N","N","TNR109",0
"714","TNR110",10410.18,70.34,4,0,81.96,81.96,"1528.94",0,"Terra Nova","N","N","TNR110",0
"715","TNR111",10582.67,123.7,2,0,250.27,250.27,"1819.59",0,"Terra Nova","N","N","TNR111",0
"716","TNR112",10118.04,236.1,2,0,367.32,367.32,"1799.77",0,"Terra Nova","N","N","TNR112",0
"717","TNR113",10237.44,409.25,2,0,545.7,545.7,"1878.42",0,"Terra Nova","N","N","TNR113",0
"718","TNR114",10332.54,526.1,2,0,661.33,518.42,"2036.97",0,"Terra Nova","N","N","TNR114",0
"719","TNR115",10453.31,708.48,2,0,957.91,544.37,"1688.37",0,"Terra Nova","N","N","TNR115",0
"720","TNR116",10564.85,822.93,2,0,962.58,564.83,"1948.24",0,"Terra Nova","N","N","TNR116",0
"721","TNR117",10659.15,950.63,2,0,884.06,551.34,"1582.79",0,"Terra Nova","N","N","TNR117",0
"722","TNR118",10815.09,1213.77,2,0,608.97,312.9,"2207.1999999999998",0,"Terra Nova","N","N","TNR118",0
"723","TNR119",10912.07,1341.61,4,0,488.07,233.33,"1967.76",0,"Terra Nova","N","N","TNR119",0
"724","TNR120",10995.78,1308.52,4,0,620.85,439.9,"1729.03",0,"Terra Nova","N","N","TNR120",0
"725","TNR121",11097.01,1362.47,3,0,673.78,522.65,"2139.98",413.83,"Terra Nova","N","N","TNR121",0
"726","TNR122",11332.8,1742.15,3,0,376.84,376.84,"0",119.35,"Terra Nova","N","N","TNR122",0
"727","TNR123",11425.6,1924.61,3,0,309.89,309.89,"2410.3000000000002",0,"Terra Nova","N","N","TNR123",0
"728","TNR124",11299.97,1837.08,3,0,191.69,191.69,"1555.3",0,"Terra Nova","N","N","TNR124",0
"729","TNR125",11144.55,1882.85,2,0,121.93,103.01,"1290.1400000000001",0,"Terra Nova","N","N","TNR125",0
"730","TNR126",11344.03,2098.82,4,0,298.02,206.56,"1396.99",159.1,"Terra Nova","N","N","TNR126",0
"731","TNR127",11529.28,2258.79,2,0,459.39,337.01,"1353.17",154.5,"Terra Nova","N","N","TNR127",0
"732","TNR128",11732.53,2493.86,2,0,696.82,456.05,"1365.51",0,"Terra Nova","N","N","TNR128",0
"733","TNR129",11894.53,2710.99,4,0,646.26,602.25,"1033.81",0,"Terra Nova","N","N","TNR129",0
"734","TNR130",12386.72,3142.76,3,0,154,154,"1146.8599999999999",0,"Terra Nova","N","N","TNR130",0
"735","TNR131",13053.05,3823.61,3,0,546.31,222.89,"1460.11",0,"Terra Nova","N","N","TNR131",0
"736","TNR132",13609.28,4328.29,5,0,1094.76,716.4,"2452.0100000000002",0,"Terra Nova","N","N","TNR132",0
"737","TNR133",14157.34,4880.41,4,0,1657.64,676.1,"1186.8499999999999",0,"Terra Nova","N","N","TNR133",0
"738","TNR134",14665.02,5453.04,3,0,2211.36,507.6,"1181.56",0,"Terra Nova","N","N","TNR134",0
"739","TNR135",14962.63,5780.73,3,0,2533.97,625.92,"1854.2",0,"Terra Nova","N","N","TNR135",0
"740","TNR136",15479.81,6372.47,3,0,3112.65,1059.78,"1692.4",0,"Terra Nova","N","N","TNR136",0
